Argument 1-Premise 1,Argument 1-Premise 2,Argument 1-Conclusion,Argument 2-Premise 1,Argument 2-Premise 2,Argument 2-Conclusion,Argument 2 Chosen,participant_id
parakeet,,canary,canary,,parakeet,1,62f8f9a33bc7d6d2915ea840
trombone,,trumpet,trumpet,,trombone,1,62f8f9a33bc7d6d2915ea840
blouse,,shirt,shirt,,blouse,0,62f8f9a33bc7d6d2915ea840
rifle,,pistol,pistol,,rifle,0,62f8f9a33bc7d6d2915ea840
swan,,duck,duck,,swan,0,62f8f9a33bc7d6d2915ea840
turtle,,tortoise,tortoise,,turtle,1,62f8f9a33bc7d6d2915ea840
tiger,,cat,cat,,tiger,1,62f8f9a33bc7d6d2915ea840
sparrow,,robin,robin,,sparrow,0,62f8f9a33bc7d6d2915ea840
rooster,,chicken,chicken,,rooster,0,62f8f9a33bc7d6d2915ea840
snake,,boa,boa,,snake,1,62f8f9a33bc7d6d2915ea840
banjo,,guitar,guitar,,banjo,0,62f8f9a33bc7d6d2915ea840
mouse,,hamster,hamster,,mouse,1,62f8f9a33bc7d6d2915ea840
cello,,double bass,double bass,,cello,0,5c8a2d11f7ab04001042af3c
organ,,piano,piano,,organ,0,5c8a2d11f7ab04001042af3c
banjo,,guitar,guitar,,banjo,0,5c8a2d11f7ab04001042af3c
zebra,,horse,horse,,zebra,0,5c8a2d11f7ab04001042af3c
flute,,pan flute,pan flute,,flute,1,5c8a2d11f7ab04001042af3c
fruit fly,,fly,fly,,fruit fly,0,5c8a2d11f7ab04001042af3c
tiger,,cat,cat,,tiger,0,5c8a2d11f7ab04001042af3c
pants,,jeans,jeans,,pants,1,5c8a2d11f7ab04001042af3c
recorder,,clarinet,clarinet,,recorder,0,5c8a2d11f7ab04001042af3c
axe,,knife,knife,,axe,1,5c8a2d11f7ab04001042af3c
wolf,,dog,dog,,wolf,0,5c8a2d11f7ab04001042af3c
vulture,,eagle,eagle,,vulture,0,5c8a2d11f7ab04001042af3c
wolf,,fox,fox,,wolf,1,5c8a2d11f7ab04001042af3c
trombone,,trumpet,trumpet,,trombone,0,5c8a2d11f7ab04001042af3c
machine gun,,pistol,pistol,,machine gun,0,5c8a2d11f7ab04001042af3c
saxophone,,trumpet,trumpet,,saxophone,1,5c8a2d11f7ab04001042af3c
parakeet,,canary,canary,,parakeet,0,5c8a2d11f7ab04001042af3c
bumblebee,,bee,bee,,bumblebee,0,5c8a2d11f7ab04001042af3c
mouse,,hamster,hamster,,mouse,0,5c8a2d11f7ab04001042af3c
rifle,,pistol,pistol,,rifle,1,5c8a2d11f7ab04001042af3c
blouse,,shirt,shirt,,blouse,0,5c8a2d11f7ab04001042af3c
submarine,,boat,boat,,submarine,0,5c8a2d11f7ab04001042af3c
organ,,synthesizer,synthesizer,,organ,1,5c8a2d11f7ab04001042af3c
snake,,boa,boa,,snake,1,5c8a2d11f7ab04001042af3c
piano,,synthesizer,synthesizer,,piano,1,5c8a2d11f7ab04001042af3c
turkey,,chicken,chicken,,turkey,0,5c8a2d11f7ab04001042af3c
horse,,donkey,donkey,,horse,1,5c8a2d11f7ab04001042af3c
bass guitar,,guitar,guitar,,bass guitar,0,5c8a2d11f7ab04001042af3c
sparrow,,robin,robin,,sparrow,1,5c8a2d11f7ab04001042af3c
crocodile,,alligator,alligator,,crocodile,1,5c8a2d11f7ab04001042af3c
go-cart,,car,car,,go-cart,0,5c8a2d11f7ab04001042af3c
tiger,,lion,lion,,tiger,0,5c8a2d11f7ab04001042af3c
falcon,,eagle,eagle,,falcon,1,5c8a2d11f7ab04001042af3c
cello,,violin,violin,,cello,0,5c8a2d11f7ab04001042af3c
wasp,,bumblebee,bumblebee,,wasp,0,5c8a2d11f7ab04001042af3c
snake,,boa,boa,,snake,1,62cebb481d8dff18f66ef320
zebra,,horse,horse,,zebra,0,62cebb481d8dff18f66ef320
go-cart,,car,car,,go-cart,0,62cebb481d8dff18f66ef320
rifle,,pistol,pistol,,rifle,0,62cebb481d8dff18f66ef320
whale,,orca,orca,,whale,1,62cebb481d8dff18f66ef320
swan,,duck,duck,,swan,1,62cebb481d8dff18f66ef320
trombone,,trumpet,trumpet,,trombone,0,62cebb481d8dff18f66ef320
rooster,,chicken,chicken,,rooster,0,62cebb481d8dff18f66ef320
piano,,synthesizer,synthesizer,,piano,1,62cebb481d8dff18f66ef320
wolf,,dog,dog,,wolf,0,62cebb481d8dff18f66ef320
airplane,,helicopter,helicopter,,airplane,1,62cebb481d8dff18f66ef320
falcon,,eagle,eagle,,falcon,0,62cebb481d8dff18f66ef320
parakeet,,canary,canary,,parakeet,0,62cebb481d8dff18f66ef320
horse,,donkey,donkey,,horse,1,62cebb481d8dff18f66ef320
wolf,,fox,fox,,wolf,1,62cebb481d8dff18f66ef320
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,0,62cebb481d8dff18f66ef320
sparrow,,chickadee,chickadee,,sparrow,0,62cebb481d8dff18f66ef320
bumblebee,,bee,bee,,bumblebee,0,62cebb481d8dff18f66ef320
mouse,,hamster,hamster,,mouse,1,62cebb481d8dff18f66ef320
cello,,double bass,double bass,,cello,0,62cebb481d8dff18f66ef320
whale,,sperm whale,sperm whale,,whale,1,62cebb481d8dff18f66ef320
turkey,,chicken,chicken,,turkey,0,62cebb481d8dff18f66ef320
bass guitar,,guitar,guitar,,bass guitar,0,62cebb481d8dff18f66ef320
sparrow,,robin,robin,,sparrow,1,62cebb481d8dff18f66ef320
tiger,,lion,lion,,tiger,0,62cebb481d8dff18f66ef320
recorder,,clarinet,clarinet,,recorder,0,62cebb481d8dff18f66ef320
pants,,jeans,jeans,,pants,1,62cebb481d8dff18f66ef320
saxophone,,trumpet,trumpet,,saxophone,0,62cebb481d8dff18f66ef320
truck,,car,car,,truck,0,62cebb481d8dff18f66ef320
submarine,,boat,boat,,submarine,0,62cebb481d8dff18f66ef320
blouse,,shirt,shirt,,blouse,0,62cebb481d8dff18f66ef320
organ,,synthesizer,synthesizer,,organ,1,62cebb481d8dff18f66ef320
axe,,knife,knife,,axe,0,62cebb481d8dff18f66ef320
banjo,,guitar,guitar,,banjo,0,62cebb481d8dff18f66ef320
crocodile,,alligator,alligator,,crocodile,1,62cebb481d8dff18f66ef320
stork,,heron,heron,,stork,1,5cca199061e0b90017809cb7
zebra,,donkey,donkey,,zebra,0,5cca199061e0b90017809cb7
banjo,,guitar,guitar,,banjo,0,5cca199061e0b90017809cb7
pants,,jeans,jeans,,pants,1,5cca199061e0b90017809cb7
sparrow,,chickadee,chickadee,,sparrow,1,5cca199061e0b90017809cb7
airplane,,helicopter,helicopter,,airplane,1,5cca199061e0b90017809cb7
zebra,,horse,horse,,zebra,0,5cca199061e0b90017809cb7
wasp,,bee,bee,,wasp,0,5cca199061e0b90017809cb7
rooster,,chicken,chicken,,rooster,0,5cca199061e0b90017809cb7
falcon,,eagle,eagle,,falcon,0,5cca199061e0b90017809cb7
wasp,,bumblebee,bumblebee,,wasp,0,5cca199061e0b90017809cb7
flute,,pan flute,pan flute,,flute,1,5cca199061e0b90017809cb7
axe,,knife,knife,,axe,1,5cca199061e0b90017809cb7
cello,,violin,violin,,cello,0,5cca199061e0b90017809cb7
blouse,,shirt,shirt,,blouse,0,5cca199061e0b90017809cb7
whale,,orca,orca,,whale,1,5cca199061e0b90017809cb7
turkey,,chicken,chicken,,turkey,0,5cca199061e0b90017809cb7
parakeet,,canary,canary,,parakeet,0,5cca199061e0b90017809cb7
organ,,synthesizer,synthesizer,,organ,1,5cca199061e0b90017809cb7
mouse,,hamster,hamster,,mouse,1,5cca199061e0b90017809cb7
tiger,,cat,cat,,tiger,1,5cca199061e0b90017809cb7
turtle,,tortoise,tortoise,,turtle,0,5cca199061e0b90017809cb7
wolf,,dog,dog,,wolf,0,5cca199061e0b90017809cb7
bass guitar,,guitar,guitar,,bass guitar,0,5cca199061e0b90017809cb7
wolf,,fox,fox,,wolf,0,5cca199061e0b90017809cb7
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,0,5cca199061e0b90017809cb7
trombone,,trumpet,trumpet,,trombone,0,5cca199061e0b90017809cb7
rifle,,pistol,pistol,,rifle,1,5cca199061e0b90017809cb7
fruit fly,,fly,fly,,fruit fly,0,5cca199061e0b90017809cb7
go-cart,,car,car,,go-cart,0,5cca199061e0b90017809cb7
organ,,piano,piano,,organ,0,5cca199061e0b90017809cb7
bumblebee,,bee,bee,,bumblebee,0,5cca199061e0b90017809cb7
train,,subway train,subway train,,train,1,5cca199061e0b90017809cb7
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,5cca199061e0b90017809cb7
saxophone,,trumpet,trumpet,,saxophone,0,5cca199061e0b90017809cb7
whale,,sperm whale,sperm whale,,whale,1,5a94ee9bf6dfdd0001ea50f1
turkey,,chicken,chicken,,turkey,1,5a94ee9bf6dfdd0001ea50f1
tiger,,cat,cat,,tiger,1,5a94ee9bf6dfdd0001ea50f1
wolf,,fox,fox,,wolf,1,5a94ee9bf6dfdd0001ea50f1
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,0,5a94ee9bf6dfdd0001ea50f1
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,0,5a94ee9bf6dfdd0001ea50f1
swan,,duck,duck,,swan,1,5a94ee9bf6dfdd0001ea50f1
parakeet,,canary,canary,,parakeet,1,5a94ee9bf6dfdd0001ea50f1
turtle,,tortoise,tortoise,,turtle,1,5a94ee9bf6dfdd0001ea50f1
stork,,heron,heron,,stork,0,5a94ee9bf6dfdd0001ea50f1
recorder,,clarinet,clarinet,,recorder,0,5a94ee9bf6dfdd0001ea50f1
bumblebee,,bee,bee,,bumblebee,1,5a94ee9bf6dfdd0001ea50f1
vulture,,eagle,eagle,,vulture,0,5a94ee9bf6dfdd0001ea50f1
saxophone,,trumpet,trumpet,,saxophone,1,5a94ee9bf6dfdd0001ea50f1
train,,subway train,subway train,,train,1,5a94ee9bf6dfdd0001ea50f1
machine gun,,pistol,pistol,,machine gun,1,5a94ee9bf6dfdd0001ea50f1
sardine,,anchovy,anchovy,,sardine,1,5a94ee9bf6dfdd0001ea50f1
cello,,violin,violin,,cello,1,5a94ee9bf6dfdd0001ea50f1
axe,,knife,knife,,axe,0,5a94ee9bf6dfdd0001ea50f1
wolf,,dog,dog,,wolf,1,5a94ee9bf6dfdd0001ea50f1
fruit fly,,fly,fly,,fruit fly,0,5a94ee9bf6dfdd0001ea50f1
falcon,,eagle,eagle,,falcon,0,5a94ee9bf6dfdd0001ea50f1
piano,,synthesizer,synthesizer,,piano,1,5a94ee9bf6dfdd0001ea50f1
wasp,,bumblebee,bumblebee,,wasp,0,5a94ee9bf6dfdd0001ea50f1
wasp,,bee,bee,,wasp,0,5a94ee9bf6dfdd0001ea50f1
go-cart,,car,car,,go-cart,0,5a94ee9bf6dfdd0001ea50f1
submarine,,boat,boat,,submarine,0,5a94ee9bf6dfdd0001ea50f1
airplane,,helicopter,helicopter,,airplane,0,5a94ee9bf6dfdd0001ea50f1
tiger,,lion,lion,,tiger,1,5a94ee9bf6dfdd0001ea50f1
whale,,orca,orca,,whale,1,5a94ee9bf6dfdd0001ea50f1
organ,,synthesizer,synthesizer,,organ,1,5a94ee9bf6dfdd0001ea50f1
zebra,,horse,horse,,zebra,0,5a94ee9bf6dfdd0001ea50f1
rooster,,chicken,chicken,,rooster,1,5a94ee9bf6dfdd0001ea50f1
sparrow,,robin,robin,,sparrow,0,5a94ee9bf6dfdd0001ea50f1
organ,,piano,piano,,organ,0,5a94ee9bf6dfdd0001ea50f1
bumblebee,,bee,bee,,bumblebee,0,6303dd61dc15d0245f90767b
zebra,,donkey,donkey,,zebra,0,6303dd61dc15d0245f90767b
machine gun,,pistol,pistol,,machine gun,0,6303dd61dc15d0245f90767b
go-cart,,car,car,,go-cart,0,6303dd61dc15d0245f90767b
bass guitar,,guitar,guitar,,bass guitar,0,6303dd61dc15d0245f90767b
turtle,,tortoise,tortoise,,turtle,1,6303dd61dc15d0245f90767b
tiger,,lion,lion,,tiger,0,6303dd61dc15d0245f90767b
saxophone,,trumpet,trumpet,,saxophone,0,6303dd61dc15d0245f90767b
tiger,,cat,cat,,tiger,1,6303dd61dc15d0245f90767b
turkey,,chicken,chicken,,turkey,0,6303dd61dc15d0245f90767b
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,0,6303dd61dc15d0245f90767b
vulture,,eagle,eagle,,vulture,0,6303dd61dc15d0245f90767b
recorder,,clarinet,clarinet,,recorder,0,6303dd61dc15d0245f90767b
mouse,,hamster,hamster,,mouse,1,6303dd61dc15d0245f90767b
snake,,boa,boa,,snake,1,6303dd61dc15d0245f90767b
sparrow,,chickadee,chickadee,,sparrow,1,6303dd61dc15d0245f90767b
pants,,jeans,jeans,,pants,1,6303dd61dc15d0245f90767b
airplane,,helicopter,helicopter,,airplane,1,6303dd61dc15d0245f90767b
flute,,pan flute,pan flute,,flute,1,6303dd61dc15d0245f90767b
blouse,,shirt,shirt,,blouse,0,6303dd61dc15d0245f90767b
stork,,heron,heron,,stork,0,6303dd61dc15d0245f90767b
horse,,donkey,donkey,,horse,1,6303dd61dc15d0245f90767b
wasp,,bee,bee,,wasp,0,6303dd61dc15d0245f90767b
truck,,car,car,,truck,0,6303dd61dc15d0245f90767b
parakeet,,canary,canary,,parakeet,0,6303dd61dc15d0245f90767b
banjo,,guitar,guitar,,banjo,0,6303dd61dc15d0245f90767b
wolf,,dog,dog,,wolf,0,6303dd61dc15d0245f90767b
fruit fly,,fly,fly,,fruit fly,0,6303dd61dc15d0245f90767b
cello,,violin,violin,,cello,0,6303dd61dc15d0245f90767b
train,,subway train,subway train,,train,1,6303dd61dc15d0245f90767b
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,6303dd61dc15d0245f90767b
sparrow,,robin,robin,,sparrow,1,6303dd61dc15d0245f90767b
whale,,sperm whale,sperm whale,,whale,1,6303dd61dc15d0245f90767b
sardine,,anchovy,anchovy,,sardine,1,6303dd61dc15d0245f90767b
rooster,,chicken,chicken,,rooster,0,6303dd61dc15d0245f90767b
turkey,,chicken,chicken,,turkey,0,60250e892b5c5727eeeef076
swan,,duck,duck,,swan,0,60250e892b5c5727eeeef076
turtle,,tortoise,tortoise,,turtle,0,60250e892b5c5727eeeef076
truck,,car,car,,truck,1,60250e892b5c5727eeeef076
sardine,,anchovy,anchovy,,sardine,1,60250e892b5c5727eeeef076
submarine,,boat,boat,,submarine,0,60250e892b5c5727eeeef076
sparrow,,chickadee,chickadee,,sparrow,1,60250e892b5c5727eeeef076
blouse,,shirt,shirt,,blouse,0,60250e892b5c5727eeeef076
bass guitar,,guitar,guitar,,bass guitar,0,60250e892b5c5727eeeef076
wasp,,bumblebee,bumblebee,,wasp,0,60250e892b5c5727eeeef076
horse,,donkey,donkey,,horse,1,60250e892b5c5727eeeef076
wasp,,bee,bee,,wasp,0,60250e892b5c5727eeeef076
tiger,,cat,cat,,tiger,0,60250e892b5c5727eeeef076
wolf,,fox,fox,,wolf,1,60250e892b5c5727eeeef076
whale,,sperm whale,sperm whale,,whale,1,60250e892b5c5727eeeef076
organ,,synthesizer,synthesizer,,organ,0,60250e892b5c5727eeeef076
cello,,violin,violin,,cello,0,60250e892b5c5727eeeef076
stork,,heron,heron,,stork,1,60250e892b5c5727eeeef076
axe,,knife,knife,,axe,0,60250e892b5c5727eeeef076
fruit fly,,fly,fly,,fruit fly,0,60250e892b5c5727eeeef076
rooster,,chicken,chicken,,rooster,0,60250e892b5c5727eeeef076
rifle,,pistol,pistol,,rifle,0,60250e892b5c5727eeeef076
parakeet,,canary,canary,,parakeet,1,60250e892b5c5727eeeef076
zebra,,donkey,donkey,,zebra,0,60250e892b5c5727eeeef076
trombone,,trumpet,trumpet,,trombone,0,60250e892b5c5727eeeef076
go-cart,,car,car,,go-cart,0,60250e892b5c5727eeeef076
cello,,double bass,double bass,,cello,1,60250e892b5c5727eeeef076
tiger,,lion,lion,,tiger,0,60250e892b5c5727eeeef076
train,,subway train,subway train,,train,1,60250e892b5c5727eeeef076
zebra,,horse,horse,,zebra,0,60250e892b5c5727eeeef076
machine gun,,pistol,pistol,,machine gun,0,60250e892b5c5727eeeef076
airplane,,helicopter,helicopter,,airplane,1,60250e892b5c5727eeeef076
pants,,jeans,jeans,,pants,1,60250e892b5c5727eeeef076
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,0,60250e892b5c5727eeeef076
snake,,boa,boa,,snake,1,60250e892b5c5727eeeef076
parakeet,,canary,canary,,parakeet,1,65b3beb4463142ec09dfa888
machine gun,,pistol,pistol,,machine gun,1,65b3beb4463142ec09dfa888
swan,,duck,duck,,swan,1,65b3beb4463142ec09dfa888
cello,,violin,violin,,cello,0,65b3beb4463142ec09dfa888
whale,,orca,orca,,whale,1,65b3beb4463142ec09dfa888
wasp,,bee,bee,,wasp,0,65b3beb4463142ec09dfa888
trombone,,trumpet,trumpet,,trombone,0,65b3beb4463142ec09dfa888
organ,,piano,piano,,organ,0,65b3beb4463142ec09dfa888
wolf,,fox,fox,,wolf,1,65b3beb4463142ec09dfa888
zebra,,horse,horse,,zebra,0,65b3beb4463142ec09dfa888
whale,,sperm whale,sperm whale,,whale,1,65b3beb4463142ec09dfa888
organ,,synthesizer,synthesizer,,organ,1,65b3beb4463142ec09dfa888
horse,,donkey,donkey,,horse,1,65b3beb4463142ec09dfa888
airplane,,helicopter,helicopter,,airplane,1,65b3beb4463142ec09dfa888
go-cart,,car,car,,go-cart,0,65b3beb4463142ec09dfa888
axe,,knife,knife,,axe,1,65b3beb4463142ec09dfa888
fruit fly,,fly,fly,,fruit fly,0,65b3beb4463142ec09dfa888
turkey,,chicken,chicken,,turkey,0,65b3beb4463142ec09dfa888
bass guitar,,guitar,guitar,,bass guitar,0,65b3beb4463142ec09dfa888
mouse,,hamster,hamster,,mouse,0,65b3beb4463142ec09dfa888
cello,,double bass,double bass,,cello,0,65b3beb4463142ec09dfa888
zebra,,donkey,donkey,,zebra,0,65b3beb4463142ec09dfa888
sardine,,anchovy,anchovy,,sardine,1,65b3beb4463142ec09dfa888
flute,,pan flute,pan flute,,flute,1,65b3beb4463142ec09dfa888
pants,,jeans,jeans,,pants,0,65b3beb4463142ec09dfa888
banjo,,guitar,guitar,,banjo,0,65b3beb4463142ec09dfa888
blouse,,shirt,shirt,,blouse,0,65b3beb4463142ec09dfa888
rooster,,chicken,chicken,,rooster,0,65b3beb4463142ec09dfa888
rifle,,pistol,pistol,,rifle,1,65b3beb4463142ec09dfa888
crocodile,,alligator,alligator,,crocodile,1,65b3beb4463142ec09dfa888
wolf,,dog,dog,,wolf,0,65b3beb4463142ec09dfa888
sparrow,,robin,robin,,sparrow,1,65b3beb4463142ec09dfa888
truck,,car,car,,truck,0,65b3beb4463142ec09dfa888
submarine,,boat,boat,,submarine,0,65b3beb4463142ec09dfa888
wasp,,bumblebee,bumblebee,,wasp,0,65b3beb4463142ec09dfa888
recorder,,clarinet,clarinet,,recorder,0,6272892b05043371638ee032
trombone,,trumpet,trumpet,,trombone,0,6272892b05043371638ee032
bumblebee,,bee,bee,,bumblebee,0,6272892b05043371638ee032
saxophone,,trumpet,trumpet,,saxophone,1,6272892b05043371638ee032
wolf,,dog,dog,,wolf,0,6272892b05043371638ee032
crocodile,,alligator,alligator,,crocodile,1,6272892b05043371638ee032
rooster,,chicken,chicken,,rooster,1,6272892b05043371638ee032
sparrow,,robin,robin,,sparrow,0,6272892b05043371638ee032
cello,,violin,violin,,cello,1,6272892b05043371638ee032
zebra,,donkey,donkey,,zebra,1,6272892b05043371638ee032
snake,,boa,boa,,snake,1,6272892b05043371638ee032
sardine,,anchovy,anchovy,,sardine,1,6272892b05043371638ee032
pants,,jeans,jeans,,pants,1,6272892b05043371638ee032
turkey,,chicken,chicken,,turkey,0,6272892b05043371638ee032
whale,,orca,orca,,whale,1,6272892b05043371638ee032
zebra,,horse,horse,,zebra,0,6272892b05043371638ee032
truck,,car,car,,truck,0,6272892b05043371638ee032
wasp,,bumblebee,bumblebee,,wasp,0,6272892b05043371638ee032
falcon,,eagle,eagle,,falcon,0,6272892b05043371638ee032
horse,,donkey,donkey,,horse,1,6272892b05043371638ee032
rifle,,pistol,pistol,,rifle,1,6272892b05043371638ee032
organ,,synthesizer,synthesizer,,organ,1,6272892b05043371638ee032
stork,,heron,heron,,stork,0,6272892b05043371638ee032
submarine,,boat,boat,,submarine,0,6272892b05043371638ee032
flute,,pan flute,pan flute,,flute,1,6272892b05043371638ee032
sparrow,,chickadee,chickadee,,sparrow,1,6272892b05043371638ee032
wasp,,bee,bee,,wasp,0,6272892b05043371638ee032
go-cart,,car,car,,go-cart,0,6272892b05043371638ee032
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,6272892b05043371638ee032
train,,subway train,subway train,,train,1,6272892b05043371638ee032
organ,,piano,piano,,organ,0,6272892b05043371638ee032
mouse,,hamster,hamster,,mouse,1,6272892b05043371638ee032
fruit fly,,fly,fly,,fruit fly,0,6272892b05043371638ee032
tiger,,lion,lion,,tiger,0,6272892b05043371638ee032
bass guitar,,guitar,guitar,,bass guitar,0,6272892b05043371638ee032
airplane,,helicopter,helicopter,,airplane,1,566feba6b937e400052d33b2
rooster,,chicken,chicken,,rooster,0,566feba6b937e400052d33b2
wasp,,bee,bee,,wasp,0,566feba6b937e400052d33b2
banjo,,guitar,guitar,,banjo,0,566feba6b937e400052d33b2
zebra,,horse,horse,,zebra,0,566feba6b937e400052d33b2
zebra,,donkey,donkey,,zebra,0,566feba6b937e400052d33b2
train,,subway train,subway train,,train,1,566feba6b937e400052d33b2
fruit fly,,fly,fly,,fruit fly,0,566feba6b937e400052d33b2
saxophone,,trumpet,trumpet,,saxophone,0,566feba6b937e400052d33b2
rifle,,pistol,pistol,,rifle,0,566feba6b937e400052d33b2
go-cart,,car,car,,go-cart,0,566feba6b937e400052d33b2
sparrow,,chickadee,chickadee,,sparrow,1,566feba6b937e400052d33b2
sardine,,anchovy,anchovy,,sardine,0,566feba6b937e400052d33b2
submarine,,boat,boat,,submarine,0,566feba6b937e400052d33b2
wolf,,fox,fox,,wolf,1,566feba6b937e400052d33b2
wolf,,dog,dog,,wolf,1,566feba6b937e400052d33b2
tiger,,lion,lion,,tiger,0,566feba6b937e400052d33b2
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,566feba6b937e400052d33b2
falcon,,eagle,eagle,,falcon,0,566feba6b937e400052d33b2
pants,,jeans,jeans,,pants,1,566feba6b937e400052d33b2
sparrow,,robin,robin,,sparrow,0,566feba6b937e400052d33b2
bass guitar,,guitar,guitar,,bass guitar,0,566feba6b937e400052d33b2
piano,,synthesizer,synthesizer,,piano,1,566feba6b937e400052d33b2
mouse,,hamster,hamster,,mouse,1,566feba6b937e400052d33b2
whale,,sperm whale,sperm whale,,whale,1,566feba6b937e400052d33b2
tiger,,cat,cat,,tiger,0,566feba6b937e400052d33b2
whale,,orca,orca,,whale,1,566feba6b937e400052d33b2
organ,,synthesizer,synthesizer,,organ,1,566feba6b937e400052d33b2
blouse,,shirt,shirt,,blouse,0,566feba6b937e400052d33b2
truck,,car,car,,truck,0,566feba6b937e400052d33b2
turkey,,chicken,chicken,,turkey,0,566feba6b937e400052d33b2
snake,,boa,boa,,snake,1,566feba6b937e400052d33b2
wasp,,bumblebee,bumblebee,,wasp,0,566feba6b937e400052d33b2
stork,,heron,heron,,stork,1,566feba6b937e400052d33b2
trombone,,trumpet,trumpet,,trombone,0,566feba6b937e400052d33b2
wolf,,dog,dog,,wolf,1,65c8d7f023278532f6f49139
falcon,,eagle,eagle,,falcon,0,65c8d7f023278532f6f49139
sardine,,anchovy,anchovy,,sardine,1,65c8d7f023278532f6f49139
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,0,65c8d7f023278532f6f49139
truck,,car,car,,truck,0,65c8d7f023278532f6f49139
rhinoceros,,hippopotamus,hippopotamus,,rhinoceros,1,65c8d7f023278532f6f49139
snake,,boa,boa,,snake,1,65c8d7f023278532f6f49139
train,,subway train,subway train,,train,1,65c8d7f023278532f6f49139
stork,,heron,heron,,stork,0,65c8d7f023278532f6f49139
trombone,,trumpet,trumpet,,trombone,0,65c8d7f023278532f6f49139
cello,,violin,violin,,cello,0,65c8d7f023278532f6f49139
bass guitar,,guitar,guitar,,bass guitar,0,65c8d7f023278532f6f49139
whale,,orca,orca,,whale,1,65c8d7f023278532f6f49139
bumblebee,,bee,bee,,bumblebee,0,65c8d7f023278532f6f49139
banjo,,guitar,guitar,,banjo,0,65c8d7f023278532f6f49139
horse,,donkey,donkey,,horse,1,65c8d7f023278532f6f49139
tiger,,cat,cat,,tiger,0,65c8d7f023278532f6f49139
rifle,,pistol,pistol,,rifle,1,65c8d7f023278532f6f49139
parakeet,,canary,canary,,parakeet,1,65c8d7f023278532f6f49139
fruit fly,,fly,fly,,fruit fly,0,65c8d7f023278532f6f49139
turkey,,chicken,chicken,,turkey,0,65c8d7f023278532f6f49139
blouse,,shirt,shirt,,blouse,0,65c8d7f023278532f6f49139
saxophone,,trumpet,trumpet,,saxophone,1,65c8d7f023278532f6f49139
rooster,,chicken,chicken,,rooster,0,65c8d7f023278532f6f49139
swan,,duck,duck,,swan,0,65c8d7f023278532f6f49139
machine gun,,pistol,pistol,,machine gun,0,65c8d7f023278532f6f49139
recorder,,clarinet,clarinet,,recorder,0,65c8d7f023278532f6f49139
crocodile,,alligator,alligator,,crocodile,1,65c8d7f023278532f6f49139
go-cart,,car,car,,go-cart,0,65c8d7f023278532f6f49139
pants,,jeans,jeans,,pants,0,65c8d7f023278532f6f49139
vulture,,eagle,eagle,,vulture,0,65c8d7f023278532f6f49139
wasp,,bumblebee,bumblebee,,wasp,1,65c8d7f023278532f6f49139
whale,,sperm whale,sperm whale,,whale,1,65c8d7f023278532f6f49139
submarine,,boat,boat,,submarine,0,65c8d7f023278532f6f49139
piano,,synthesizer,synthesizer,,piano,1,65c8d7f023278532f6f49139
airplane,,helicopter,helicopter,,airplane,1,57d0a0bee3221e00015fe385
submarine,,boat,boat,,submarine,0,57d0a0bee3221e00015fe385
rifle,,double barrelled shotgun,double barrelled shotgun,,rifle,1,57d0a0bee3221e00015fe385
banjo,,guitar,guitar,,banjo,0,57d0a0bee3221e00015fe385
machine gun,,pistol,pistol,,machine gun,1,57d0a0bee3221e00015fe385
wasp,,bee,bee,,wasp,1,57d0a0bee3221e00015fe385
fruit fly,,fly,fly,,fruit fly,0,57d0a0bee3221e00015fe385
vulture,,eagle,eagle,,vulture,0,57d0a0bee3221e00015fe385
rooster,,chicken,chicken,,rooster,1,57d0a0bee3221e00015fe385
horse,,donkey,donkey,,horse,1,57d0a0bee3221e00015fe385
zebra,,donkey,donkey,,zebra,1,57d0a0bee3221e00015fe385
mouse,,hamster,hamster,,mouse,1,57d0a0bee3221e00015fe385
turtle,,tortoise,tortoise,,turtle,1,57d0a0bee3221e00015fe385
pants,,jeans,jeans,,pants,1,57d0a0bee3221e00015fe385
trombone,,trumpet,trumpet,,trombone,0,57d0a0bee3221e00015fe385
stork,,heron,heron,,stork,0,57d0a0bee3221e00015fe385
bass guitar,,guitar,guitar,,bass guitar,0,57d0a0bee3221e00015fe385
bumblebee,,bee,bee,,bumblebee,0,57d0a0bee3221e00015fe385
tiger,,lion,lion,,tiger,1,57d0a0bee3221e00015fe385
wolf,,fox,fox,,wolf,1,57d0a0bee3221e00015fe385
organ,,synthesizer,synthesizer,,organ,1,57d0a0bee3221e00015fe385
wolf,,dog,dog,,wolf,1,57d0a0bee3221e00015fe385
whale,,orca,orca,,whale,1,57d0a0bee3221e00015fe385
falcon,,eagle,eagle,,falcon,0,57d0a0bee3221e00015fe385
train,,subway train,subway train,,train,1,57d0a0bee3221e00015fe385
