,Premise 1,Conclusion 1,Distractor 1,Conclusion 2,Distractor 2,Participant Group,Conclusion 1 Chosen,Conclusion 2 Chosen,participant_id
285,cobra,alligator,gecko,lizard,crocodile,Distractor 2,False,False,5ac2ecb9e1546900019be720
286,owl,cat,bus,airplane,lion,Distractor 2,False,True,5ac2ecb9e1546900019be720
287,pelican,mouse,bus,airplane,hamster,Distractor 2,False,True,5ac2ecb9e1546900019be720
288,blackbird,polar bear,car,airplane,penguin,Distractor 2,False,True,5ac2ecb9e1546900019be720
289,duck,pelican,goldfish,salmon,seagull,Distractor 2,False,False,5ac2ecb9e1546900019be720
290,sparrow,mouse,bus,airplane,hamster,Distractor 2,False,True,5ac2ecb9e1546900019be720
291,car,motorbike,tram,train,bicycle,Distractor 2,True,False,5ac2ecb9e1546900019be720
292,robin,polar bear,car,airplane,penguin,Distractor 2,False,True,5ac2ecb9e1546900019be720
293,snake,alligator,gecko,lizard,crocodile,Distractor 2,False,True,5ac2ecb9e1546900019be720
294,trout,orca,horse,pig,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
295,owl,polar bear,bus,airplane,penguin,Distractor 2,False,True,5ac2ecb9e1546900019be720
296,cobra,alligator,chameleon,lizard,crocodile,Distractor 2,True,False,5ac2ecb9e1546900019be720
297,dolphin,whale,herring,cod,sperm whale,Distractor 2,True,False,5ac2ecb9e1546900019be720
298,salmon,shark,sparrow,chicken,dolphin,Distractor 2,False,False,5ac2ecb9e1546900019be720
299,robin,mouse,car,airplane,hamster,Distractor 2,False,True,5ac2ecb9e1546900019be720
300,crow,mouse,bus,airplane,hamster,Distractor 2,False,True,5ac2ecb9e1546900019be720
301,blackbird,mouse,bus,airplane,hamster,Distractor 2,False,True,5ac2ecb9e1546900019be720
302,robin,mouse,bus,airplane,hamster,Distractor 2,False,True,5ac2ecb9e1546900019be720
303,cello,guitar,organ,piano,bass guitar,Distractor 2,False,False,5ac2ecb9e1546900019be720
304,trout,shark,horse,pig,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
305,salmon,shark,sparrow,chicken,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
306,trout,sperm whale,horse,pig,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
307,trout,shark,horse,pig,dolphin,Distractor 2,False,False,5ac2ecb9e1546900019be720
308,pelican,polar bear,bus,airplane,penguin,Distractor 2,False,False,5ac2ecb9e1546900019be720
309,eagle,rooster,pelican,seagull,chicken,Distractor 2,False,True,5ac2ecb9e1546900019be720
310,owl,polar bear,car,airplane,penguin,Distractor 2,False,True,5ac2ecb9e1546900019be720
311,salmon,sperm whale,horse,pig,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
312,duck,pelican,horse,pig,seagull,Distractor 2,False,False,5ac2ecb9e1546900019be720
313,tank,car,pistol,rifle,truck,Distractor 2,False,False,5ac2ecb9e1546900019be720
314,salmon,shark,horse,pig,whale,Distractor 2,False,False,5ac2ecb9e1546900019be720
315,duck,pelican,goldfish,salmon,seagull,Distractor 2,False,False,65be5c84defe30b60960f46f
316,car,motorbike,tram,train,bicycle,Distractor 2,True,False,65be5c84defe30b60960f46f
317,blackbird,polar bear,bus,airplane,penguin,Distractor 2,False,False,65be5c84defe30b60960f46f
318,salmon,shark,sparrow,chicken,whale,Distractor 2,False,True,65be5c84defe30b60960f46f
319,robin,mouse,car,airplane,hamster,Distractor 2,False,False,65be5c84defe30b60960f46f
320,trout,shark,horse,pig,whale,Distractor 2,False,True,65be5c84defe30b60960f46f
321,dolphin,whale,herring,cod,sperm whale,Distractor 2,False,False,65be5c84defe30b60960f46f
322,snake,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,65be5c84defe30b60960f46f
323,snake,alligator,gecko,lizard,crocodile,Distractor 2,False,True,65be5c84defe30b60960f46f
324,owl,cat,bus,airplane,lion,Distractor 2,True,False,65be5c84defe30b60960f46f
325,cat,hamster,zebra,horse,mouse,Distractor 2,False,False,65be5c84defe30b60960f46f
326,cobra,alligator,gecko,lizard,crocodile,Distractor 2,True,False,65be5c84defe30b60960f46f
327,owl,polar bear,car,airplane,penguin,Distractor 2,False,False,65be5c84defe30b60960f46f
328,salmon,shark,sparrow,chicken,dolphin,Distractor 2,False,False,65be5c84defe30b60960f46f
329,cello,guitar,organ,piano,bass guitar,Distractor 2,False,True,65be5c84defe30b60960f46f
330,owl,polar bear,bus,airplane,penguin,Distractor 2,False,False,65be5c84defe30b60960f46f
331,pelican,mouse,bus,airplane,hamster,Distractor 2,True,False,65be5c84defe30b60960f46f
332,robin,polar bear,car,airplane,penguin,Distractor 2,True,False,65be5c84defe30b60960f46f
333,eagle,rooster,pelican,seagull,chicken,Distractor 2,False,True,65be5c84defe30b60960f46f
334,crow,mouse,bus,airplane,hamster,Distractor 2,True,False,65be5c84defe30b60960f46f
335,pelican,polar bear,van,airplane,penguin,Distractor 2,False,False,65be5c84defe30b60960f46f
336,duck,pelican,horse,cow,seagull,Distractor 2,False,False,65be5c84defe30b60960f46f
337,duck,pelican,horse,pig,seagull,Distractor 2,False,False,65be5c84defe30b60960f46f
338,cobra,alligator,chameleon,lizard,crocodile,Distractor 2,True,False,65be5c84defe30b60960f46f
339,snake,alligator,toad,frog,crocodile,Distractor 2,False,False,65be5c84defe30b60960f46f
340,blackbird,polar bear,car,airplane,penguin,Distractor 2,False,False,65be5c84defe30b60960f46f
341,pelican,polar bear,bus,airplane,penguin,Distractor 2,False,True,65be5c84defe30b60960f46f
342,trout,shark,horse,pig,dolphin,Distractor 2,False,False,65be5c84defe30b60960f46f
343,cobra,alligator,toad,frog,crocodile,Distractor 2,False,False,65be5c84defe30b60960f46f
344,sparrow,mouse,bus,airplane,hamster,Distractor 2,True,False,65be5c84defe30b60960f46f
345,salmon,shark,horse,pig,dolphin,Distractor 2,False,False,65be5c84defe30b60960f46f
346,robin,mouse,bus,airplane,hamster,Distractor 2,False,False,65be5c84defe30b60960f46f
347,blackbird,mouse,bus,airplane,hamster,Distractor 2,False,False,65be5c84defe30b60960f46f
348,salmon,sperm whale,horse,pig,whale,Distractor 2,False,False,65be5c84defe30b60960f46f
349,tank,truck,pistol,rifle,car,Distractor 2,True,False,65be5c84defe30b60960f46f
350,owl,polar bear,car,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
351,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,5c95493ddd325800166f838a
352,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
353,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,5c95493ddd325800166f838a
354,trout,orca,horse,pig,whale,Distractor 1,True,False,5c95493ddd325800166f838a
355,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,5c95493ddd325800166f838a
356,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,5c95493ddd325800166f838a
357,salmon,orca,horse,pig,whale,Distractor 1,True,False,5c95493ddd325800166f838a
358,duck,pelican,horse,cow,seagull,Distractor 1,True,False,5c95493ddd325800166f838a
359,owl,polar bear,bus,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
360,tank,truck,pistol,rifle,car,Distractor 1,True,False,5c95493ddd325800166f838a
361,owl,cat,bus,airplane,lion,Distractor 1,True,False,5c95493ddd325800166f838a
362,trout,shark,horse,pig,whale,Distractor 1,True,False,5c95493ddd325800166f838a
363,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,5c95493ddd325800166f838a
364,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,5c95493ddd325800166f838a
365,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,True,5c95493ddd325800166f838a
366,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,5c95493ddd325800166f838a
367,blackbird,mouse,bus,airplane,hamster,Distractor 1,True,False,5c95493ddd325800166f838a
368,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,True,5c95493ddd325800166f838a
369,blackbird,polar bear,car,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
370,blackbird,polar bear,bus,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
371,cello,guitar,organ,piano,bass guitar,Distractor 1,False,False,5c95493ddd325800166f838a
372,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,5c95493ddd325800166f838a
373,sparrow,mouse,bus,airplane,hamster,Distractor 1,True,False,5c95493ddd325800166f838a
374,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,5c95493ddd325800166f838a
375,robin,mouse,car,airplane,hamster,Distractor 1,True,False,5c95493ddd325800166f838a
376,tank,car,pistol,rifle,truck,Distractor 1,True,False,5c95493ddd325800166f838a
377,pelican,polar bear,bus,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
378,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,5c95493ddd325800166f838a
379,duck,pelican,horse,pig,seagull,Distractor 1,True,False,5c95493ddd325800166f838a
380,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,5c95493ddd325800166f838a
381,blackbird,mouse,car,airplane,hamster,Distractor 1,True,False,5c95493ddd325800166f838a
382,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,5c95493ddd325800166f838a
383,robin,polar bear,car,airplane,penguin,Distractor 1,True,False,5c95493ddd325800166f838a
384,robin,mouse,bus,airplane,hamster,Distractor 1,True,False,5c95493ddd325800166f838a
385,pelican,mouse,bus,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
386,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
387,robin,mouse,bus,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
388,trout,orca,horse,pig,whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
389,robin,mouse,car,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
390,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,63e68adecf06a17a744aad3c
391,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,63e68adecf06a17a744aad3c
392,blackbird,mouse,bus,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
393,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,63e68adecf06a17a744aad3c
394,tank,car,pistol,rifle,truck,Distractor 1,False,True,63e68adecf06a17a744aad3c
395,duck,pelican,horse,cow,seagull,Distractor 1,True,False,63e68adecf06a17a744aad3c
396,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
397,duck,pelican,horse,pig,seagull,Distractor 1,True,False,63e68adecf06a17a744aad3c
398,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,63e68adecf06a17a744aad3c
399,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
400,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,True,63e68adecf06a17a744aad3c
401,blackbird,mouse,car,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
402,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,63e68adecf06a17a744aad3c
403,salmon,orca,horse,pig,whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
404,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,63e68adecf06a17a744aad3c
405,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,63e68adecf06a17a744aad3c
406,trout,shark,horse,pig,dolphin,Distractor 1,True,False,63e68adecf06a17a744aad3c
407,owl,cat,bus,airplane,lion,Distractor 1,False,True,63e68adecf06a17a744aad3c
408,sparrow,mouse,bus,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
409,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,63e68adecf06a17a744aad3c
410,salmon,shark,horse,pig,whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
411,car,motorbike,tram,train,bicycle,Distractor 1,True,False,63e68adecf06a17a744aad3c
412,owl,polar bear,car,airplane,penguin,Distractor 1,False,True,63e68adecf06a17a744aad3c
413,crow,mouse,bus,airplane,hamster,Distractor 1,False,True,63e68adecf06a17a744aad3c
414,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,63e68adecf06a17a744aad3c
415,pelican,polar bear,van,airplane,penguin,Distractor 1,False,True,63e68adecf06a17a744aad3c
416,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,63e68adecf06a17a744aad3c
417,pelican,polar bear,bus,airplane,penguin,Distractor 1,False,True,63e68adecf06a17a744aad3c
418,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,63e68adecf06a17a744aad3c
419,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,63e68adecf06a17a744aad3c
420,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,True,64b53cb9f438ca54a2ca5065
421,salmon,shark,sparrow,chicken,whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
422,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,64b53cb9f438ca54a2ca5065
423,owl,cat,bus,airplane,lion,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
424,pelican,mouse,bus,airplane,hamster,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
425,duck,pelican,horse,pig,seagull,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
426,cobra,alligator,toad,frog,crocodile,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
427,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
428,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
429,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
430,robin,mouse,bus,airplane,hamster,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
431,pelican,polar bear,bus,airplane,penguin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
432,salmon,shark,horse,pig,whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
433,tank,truck,pistol,rifle,car,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
434,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,64b53cb9f438ca54a2ca5065
435,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
436,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
437,blackbird,polar bear,bus,airplane,penguin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
438,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
439,owl,polar bear,bus,airplane,penguin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
440,sparrow,mouse,bus,airplane,hamster,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
441,trout,shark,horse,pig,whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
442,robin,mouse,car,airplane,hamster,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
443,trout,orca,horse,pig,whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
444,car,motorbike,tram,train,bicycle,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
445,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
446,trout,shark,horse,pig,dolphin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
447,duck,pelican,horse,cow,seagull,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
448,owl,polar bear,car,airplane,penguin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
449,robin,polar bear,car,airplane,penguin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
450,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,True,64b53cb9f438ca54a2ca5065
451,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
452,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,64b53cb9f438ca54a2ca5065
453,blackbird,mouse,bus,airplane,hamster,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
454,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,64b53cb9f438ca54a2ca5065
455,salmon,orca,horse,pig,whale,Distractor 1,True,False,659599a35a45f68375c3f06a
456,pelican,polar bear,van,airplane,penguin,Distractor 1,False,True,659599a35a45f68375c3f06a
457,eagle,rooster,pelican,seagull,chicken,Distractor 1,True,False,659599a35a45f68375c3f06a
458,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,659599a35a45f68375c3f06a
459,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,659599a35a45f68375c3f06a
460,trout,shark,horse,pig,dolphin,Distractor 1,True,False,659599a35a45f68375c3f06a
461,blackbird,polar bear,bus,airplane,penguin,Distractor 1,False,True,659599a35a45f68375c3f06a
462,salmon,sperm whale,horse,pig,whale,Distractor 1,True,False,659599a35a45f68375c3f06a
463,crow,mouse,bus,airplane,hamster,Distractor 1,True,False,659599a35a45f68375c3f06a
464,salmon,shark,horse,pig,whale,Distractor 1,True,False,659599a35a45f68375c3f06a
465,trout,shark,horse,pig,whale,Distractor 1,True,False,659599a35a45f68375c3f06a
466,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,659599a35a45f68375c3f06a
467,pelican,mouse,bus,airplane,hamster,Distractor 1,False,True,659599a35a45f68375c3f06a
468,cobra,alligator,toad,frog,crocodile,Distractor 1,False,True,659599a35a45f68375c3f06a
469,sparrow,mouse,bus,airplane,hamster,Distractor 1,False,True,659599a35a45f68375c3f06a
470,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,659599a35a45f68375c3f06a
471,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,659599a35a45f68375c3f06a
472,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,659599a35a45f68375c3f06a
473,blackbird,polar bear,car,airplane,penguin,Distractor 1,False,True,659599a35a45f68375c3f06a
474,snake,alligator,gecko,lizard,crocodile,Distractor 1,False,False,659599a35a45f68375c3f06a
475,trout,orca,horse,pig,whale,Distractor 1,True,False,659599a35a45f68375c3f06a
476,duck,pelican,horse,cow,seagull,Distractor 1,True,False,659599a35a45f68375c3f06a
477,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,659599a35a45f68375c3f06a
478,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,659599a35a45f68375c3f06a
479,robin,mouse,bus,airplane,hamster,Distractor 1,False,True,659599a35a45f68375c3f06a
480,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,False,659599a35a45f68375c3f06a
481,robin,mouse,car,airplane,hamster,Distractor 1,False,True,659599a35a45f68375c3f06a
482,blackbird,mouse,bus,airplane,hamster,Distractor 1,False,True,659599a35a45f68375c3f06a
483,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,659599a35a45f68375c3f06a
484,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,659599a35a45f68375c3f06a
485,owl,polar bear,car,airplane,penguin,Distractor 1,False,True,659599a35a45f68375c3f06a
486,blackbird,mouse,car,airplane,hamster,Distractor 1,False,True,659599a35a45f68375c3f06a
487,trout,sperm whale,horse,pig,whale,Distractor 1,True,False,659599a35a45f68375c3f06a
488,tank,car,pistol,rifle,truck,Distractor 1,True,False,659599a35a45f68375c3f06a
489,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,659599a35a45f68375c3f06a
490,cat,hamster,zebra,horse,mouse,Distractor 1,True,False,63254db937c17e8e9200fd54
491,cello,guitar,organ,piano,bass guitar,Distractor 1,True,False,63254db937c17e8e9200fd54
492,blackbird,mouse,car,airplane,hamster,Distractor 1,True,False,63254db937c17e8e9200fd54
493,salmon,orca,horse,pig,whale,Distractor 1,False,True,63254db937c17e8e9200fd54
494,salmon,shark,horse,pig,whale,Distractor 1,True,False,63254db937c17e8e9200fd54
495,duck,pelican,horse,cow,seagull,Distractor 1,True,False,63254db937c17e8e9200fd54
496,cobra,alligator,gecko,lizard,crocodile,Distractor 1,False,True,63254db937c17e8e9200fd54
497,cobra,alligator,chameleon,lizard,crocodile,Distractor 1,False,True,63254db937c17e8e9200fd54
498,trout,orca,horse,pig,whale,Distractor 1,False,True,63254db937c17e8e9200fd54
499,salmon,shark,sparrow,chicken,whale,Distractor 1,False,True,63254db937c17e8e9200fd54
500,trout,sperm whale,horse,pig,whale,Distractor 1,False,True,63254db937c17e8e9200fd54
501,dolphin,whale,herring,cod,sperm whale,Distractor 1,True,False,63254db937c17e8e9200fd54
502,pelican,polar bear,van,airplane,penguin,Distractor 1,True,False,63254db937c17e8e9200fd54
503,salmon,shark,horse,pig,dolphin,Distractor 1,True,False,63254db937c17e8e9200fd54
504,owl,polar bear,car,airplane,penguin,Distractor 1,True,False,63254db937c17e8e9200fd54
505,pelican,mouse,bus,airplane,hamster,Distractor 1,False,True,63254db937c17e8e9200fd54
506,snake,alligator,chameleon,lizard,crocodile,Distractor 1,False,False,63254db937c17e8e9200fd54
507,owl,polar bear,bus,airplane,penguin,Distractor 1,False,True,63254db937c17e8e9200fd54
508,snake,alligator,toad,frog,crocodile,Distractor 1,True,False,63254db937c17e8e9200fd54
509,salmon,shark,sparrow,chicken,dolphin,Distractor 1,True,False,63254db937c17e8e9200fd54
510,duck,pelican,horse,pig,seagull,Distractor 1,True,False,63254db937c17e8e9200fd54
511,eagle,rooster,pelican,seagull,chicken,Distractor 1,False,True,63254db937c17e8e9200fd54
512,robin,mouse,bus,airplane,hamster,Distractor 1,True,False,63254db937c17e8e9200fd54
513,cobra,alligator,toad,frog,crocodile,Distractor 1,False,False,63254db937c17e8e9200fd54
514,blackbird,mouse,bus,airplane,hamster,Distractor 1,True,False,63254db937c17e8e9200fd54
515,car,motorbike,tram,train,bicycle,Distractor 1,True,False,63254db937c17e8e9200fd54
516,duck,pelican,goldfish,salmon,seagull,Distractor 1,True,False,63254db937c17e8e9200fd54
517,robin,mouse,car,airplane,hamster,Distractor 1,True,False,63254db937c17e8e9200fd54
518,crow,mouse,bus,airplane,hamster,Distractor 1,False,False,63254db937c17e8e9200fd54
519,robin,polar bear,car,airplane,penguin,Distractor 1,False,True,63254db937c17e8e9200fd54
520,tank,car,pistol,rifle,truck,Distractor 1,True,False,63254db937c17e8e9200fd54
521,blackbird,polar bear,car,airplane,penguin,Distractor 1,True,False,63254db937c17e8e9200fd54
522,trout,shark,horse,pig,whale,Distractor 1,True,False,63254db937c17e8e9200fd54
523,sparrow,mouse,bus,airplane,hamster,Distractor 1,True,False,63254db937c17e8e9200fd54
524,pelican,polar bear,bus,airplane,penguin,Distractor 1,True,False,63254db937c17e8e9200fd54
525,cobra,alligator,toad,frog,crocodile,Distractor 2,True,False,5aeb063b2f05b500013028a0
526,pelican,polar bear,van,airplane,penguin,Distractor 2,False,False,5aeb063b2f05b500013028a0
527,trout,shark,horse,pig,whale,Distractor 2,False,False,5aeb063b2f05b500013028a0
528,owl,polar bear,bus,airplane,penguin,Distractor 2,False,False,5aeb063b2f05b500013028a0
529,tank,car,pistol,rifle,truck,Distractor 2,False,True,5aeb063b2f05b500013028a0
530,sparrow,mouse,bus,airplane,hamster,Distractor 2,False,True,5aeb063b2f05b500013028a0
531,salmon,shark,horse,pig,dolphin,Distractor 2,False,False,5aeb063b2f05b500013028a0
532,duck,pelican,goldfish,salmon,seagull,Distractor 2,False,False,5aeb063b2f05b500013028a0
533,trout,shark,horse,pig,dolphin,Distractor 2,False,False,5aeb063b2f05b500013028a0
534,robin,mouse,car,airplane,hamster,Distractor 2,False,True,5aeb063b2f05b500013028a0
535,tank,truck,pistol,rifle,car,Distractor 2,False,True,5aeb063b2f05b500013028a0
536,eagle,rooster,pelican,seagull,chicken,Distractor 2,False,True,5aeb063b2f05b500013028a0
537,salmon,shark,sparrow,chicken,dolphin,Distractor 2,False,False,5aeb063b2f05b500013028a0
538,dolphin,whale,herring,cod,sperm whale,Distractor 2,False,True,5aeb063b2f05b500013028a0
539,trout,orca,horse,pig,whale,Distractor 2,False,False,5aeb063b2f05b500013028a0
540,snake,alligator,gecko,lizard,crocodile,Distractor 2,False,True,5aeb063b2f05b500013028a0
541,crow,mouse,bus,airplane,hamster,Distractor 2,False,True,5aeb063b2f05b500013028a0
542,robin,polar bear,car,airplane,penguin,Distractor 2,False,True,5aeb063b2f05b500013028a0
543,duck,pelican,horse,cow,seagull,Distractor 2,False,False,5aeb063b2f05b500013028a0
544,blackbird,mouse,car,airplane,hamster,Distractor 2,False,True,5aeb063b2f05b500013028a0
545,blackbird,polar bear,car,airplane,penguin,Distractor 2,False,True,5aeb063b2f05b500013028a0
546,owl,cat,bus,airplane,lion,Distractor 2,False,True,5aeb063b2f05b500013028a0
547,blackbird,polar bear,bus,airplane,penguin,Distractor 2,False,True,5aeb063b2f05b500013028a0
548,cobra,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5aeb063b2f05b500013028a0
549,snake,alligator,toad,frog,crocodile,Distractor 2,False,False,5aeb063b2f05b500013028a0
550,trout,sperm whale,horse,pig,whale,Distractor 2,False,False,5aeb063b2f05b500013028a0
551,pelican,mouse,bus,airplane,hamster,Distractor 2,False,True,5aeb063b2f05b500013028a0
552,snake,alligator,chameleon,lizard,crocodile,Distractor 2,False,True,5aeb063b2f05b500013028a0
553,salmon,shark,horse,pig,whale,Distractor 2,False,False,5aeb063b2f05b500013028a0
554,cello,guitar,organ,piano,bass guitar,Distractor 2,True,False,5aeb063b2f05b500013028a0
555,salmon,shark,sparrow,chicken,whale,Distractor 2,False,False,5aeb063b2f05b500013028a0
556,salmon,sperm whale,horse,pig,whale,Distractor 2,True,False,5aeb063b2f05b500013028a0
557,owl,polar bear,car,airplane,penguin,Distractor 2,False,True,5aeb063b2f05b500013028a0
558,cat,hamster,zebra,horse,mouse,Distractor 2,False,False,5aeb063b2f05b500013028a0
559,salmon,orca,horse,pig,whale,Distractor 2,False,False,5aeb063b2f05b500013028a0
560,robin,mouse,car,airplane,hamster,Distractor 2,False,True, 63ea4564de250efaacb1cceb
561,salmon,shark,sparrow,chicken,dolphin,Distractor 2,True,False, 63ea4564de250efaacb1cceb
562,blackbird,polar bear,bus,airplane,penguin,Distractor 2,True,False, 63ea4564de250efaacb1cceb
563,pelican,mouse,bus,airplane,hamster,Distractor 2,False,False, 63ea4564de250efaacb1cceb
564,cello,guitar,organ,piano,bass guitar,Distractor 2,True,False, 63ea4564de250efaacb1cceb
565,tank,car,pistol,rifle,truck,Distractor 2,False,False, 63ea4564de250efaacb1cceb
566,crow,mouse,bus,airplane,hamster,Distractor 2,False,True, 63ea4564de250efaacb1cceb
567,car,motorbike,tram,train,bicycle,Distractor 2,True,False, 63ea4564de250efaacb1cceb
568,trout,shark,horse,pig,whale,Distractor 2,False,True, 63ea4564de250efaacb1cceb
569,owl,cat,bus,airplane,lion,Distractor 2,False,True, 63ea4564de250efaacb1cceb
570,snake,alligator,gecko,lizard,crocodile,Distractor 2,False,True, 63ea4564de250efaacb1cceb
571,eagle,rooster,pelican,seagull,chicken,Distractor 2,False,True, 63ea4564de250efaacb1cceb
572,owl,polar bear,car,airplane,penguin,Distractor 2,False,True, 63ea4564de250efaacb1cceb
573,trout,shark,horse,pig,dolphin,Distractor 2,False,False, 63ea4564de250efaacb1cceb
574,salmon,sperm whale,horse,pig,whale,Distractor 2,True,False, 63ea4564de250efaacb1cceb
575,cat,hamster,zebra,horse,mouse,Distractor 2,False,False, 63ea4564de250efaacb1cceb
576,duck,pelican,goldfish,salmon,seagull,Distractor 2,False,False, 63ea4564de250efaacb1cceb
577,trout,sperm whale,horse,pig,whale,Distractor 2,False,False, 63ea4564de250efaacb1cceb
578,snake,alligator,chameleon,lizard,crocodile,Distractor 2,False,True, 63ea4564de250efaacb1cceb
